Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,60.630001,60.720001,59.560001,59.639999,59.231194,7096400
2020-01-23,59.189999,60.380001,58.189999,60.270000,59.856876,7774500
2020-01-24,60.099998,60.209999,57.840000,58.810001,58.406887,10989500
2020-01-27,56.490002,57.180000,55.619999,56.830002,56.440460,13090200
2020-01-28,57.549999,57.970001,56.750000,57.480000,57.086002,6343700
2020-01-29,57.639999,57.799999,56.570000,56.650002,56.261692,5662000
2020-01-30,55.650002,57.180000,55.650002,57.099998,56.708603,5980700
2020-01-31,56.700001,57.080002,55.430000,55.740002,55.357929,9320800
2020-02-03,56.200001,57.250000,56.000000,56.040001,55.655872,7499000
2020-02-04,57.200001,58.400002,57.150002,57.930000,57.532917,6880800
2020-02-05,58.970001,59.299999,58.599998,58.889999,58.486336,6067000
2020-02-06,59.799999,60.029999,58.020000,58.180000,57.781204,5210200
2020-02-07,57.959999,58.250000,57.520000,57.919998,57.522984,3836800
2020-02-10,57.540001,58.119999,57.430000,57.709999,57.314423,4541100
2020-02-11,58.099998,59.099998,57.970001,58.660000,58.257912,4566500
2020-02-12,59.290001,59.919998,59.180000,59.470001,59.062363,5227500
2020-02-13,58.750000,59.209999,58.349998,59.130001,58.724693,4353100
2020-02-14,59.240002,59.470001,58.580002,58.900002,58.496269,3810100
2020-02-18,58.869999,59.470001,58.410000,58.720001,58.317501,5690600
2020-02-19,58.490002,58.580002,58.029999,58.509998,58.509998,4399900
2020-02-20,58.200001,58.990002,58.119999,58.380001,58.380001,5239400
2020-02-21,57.959999,58.020000,56.869999,57.869999,57.869999,6295600
2020-02-24,54.830002,55.380001,53.340000,54.230000,54.230000,17983100
2020-02-25,54.540001,54.709999,50.750000,50.889999,50.889999,15836500
2020-02-26,51.439999,51.770000,49.000000,49.590000,49.590000,15985900
2020-02-27,46.720001,50.980000,45.029999,48.189999,48.189999,21949100
2020-02-28,46.020000,47.790001,45.139999,46.130001,46.130001,19861000
2020-03-02,46.220001,47.250000,44.330002,47.160000,47.160000,20098700
2020-03-03,49.810001,49.970001,46.040001,46.180000,46.180000,26344100
2020-03-04,47.500000,48.639999,46.020000,48.500000,48.500000,20381800
2020-03-05,46.500000,46.570000,44.419998,45.009998,45.009998,22918800
2020-03-06,43.470001,46.930000,42.869999,45.889999,45.889999,25809300
2020-03-09,43.040001,45.009998,42.430000,43.520000,43.520000,25784700
2020-03-10,45.570000,45.880001,41.459999,45.470001,45.470001,28693300
2020-03-11,44.000000,44.340000,41.730000,42.669998,42.669998,23542000
2020-03-12,37.470001,38.779999,33.459999,33.709999,33.709999,36331900
2020-03-13,38.540001,38.740002,34.790001,38.360001,38.360001,33052500
2020-03-16,32.799999,38.080002,31.230000,35.810001,35.810001,35535400
2020-03-17,36.230000,37.189999,30.600000,31.740000,31.740000,33097500
2020-03-18,29.790001,29.790001,19.100000,23.490000,23.490000,64242500
2020-03-19,23.360001,24.150000,20.000000,21.510000,21.510000,44623400
2020-03-20,23.170000,26.850000,21.260000,21.350000,21.350000,54946300
